fftBuffer[220].imag, 0xFFF8, ,FFF8,65528
fftBuffer[221].real, 0x003F, ,003F,63
fftBuffer[221].imag, 0x0008, ,0008,8
fftBuffer[222].real, 0x0020, ,0020,32
fftBuffer[222].imag, 0x0000, ,0000,0
fftBuffer[223].real, 0x0020, ,0020,32
fftBuffer[223].imag, 0x0000, ,0000,0
fftBuffer[224].real, 0xFFE6, ,FFE6,65510
fftBuffer[224].imag, 0xFF50, ,FF50,65360
fftBuffer[225].real, 0x0002, ,0002,2
fftBuffer[225].imag, 0x000A, ,000A,10
fftBuffer[226].real, 0x001E, ,001E,30
fftBuffer[226].imag, 0xFFFC, ,FFFC,65532
fftBuffer[227].real, 0x001D, ,001D,29
fftBuffer[227].imag, 0xFFFC, ,FFFC,65532
fftBuffer[228].real, 0x0010, ,0010,16
fftBuffer[228].imag, 0x0010, ,0010,16
fftBuffer[229].real, 0xFFE9, ,FFE9,65513
fftBuffer[229].imag, 0x0016, ,0016,22
fftBuffer[230].real, 0xFFFC, ,FFFC,65532
fftBuffer[230].imag, 0x0013, ,0013,19
fftBuffer[231].real, 0xFFFD, ,FFFD,65533
fftBuffer[231].imag, 0x0013, ,0013,19
fftBuffer[232].real, 0x0026, ,0026,38
fftBuffer[232].imag, 0xFFAA, ,FFAA,65450
fftBuffer[233].real, 0x0019, ,0019,25
fftBuffer[233].imag, 0x0000, ,0000,0
fftBuffer[234].real, 0x005B, ,005B,91
fftBuffer[234].imag, 0x0044, ,0044,68
fftBuffer[235].real, 0x005B, ,005B,91
fftBuffer[235].imag, 0x0043, ,0043,67
fftBuffer[236].real, 0x000B, ,000B,11
fftBuffer[236].imag, 0xFFE6, ,FFE6,65510
fftBuffer[237].real, 0x0070, ,0070,112
fftBuffer[237].imag, 0x0031, ,0031,49
fftBuffer[238].real, 0x003E, ,003E,62
fftBuffer[238].imag, 0x000C, ,000C,12
fftBuffer[239].real, 0x003D, ,003D,61
fftBuffer[239].imag, 0x000C, ,000C,12
fftBuffer[240].real, 0xFFF2, ,FFF2,65522
fftBuffer[240].imag, 0xFFF6, ,FFF6,65526
fftBuffer[241].real, 0x0003, ,0003,3
fftBuffer[241].imag, 0xFFFB, ,FFFB,65531
fftBuffer[242].real, 0x0006, ,0006,6
fftBuffer[242].imag, 0xFFFB, ,FFFB,65531
fftBuffer[243].real, 0x0006, ,0006,6
