squaredMagnitude[274], 0x0000,
squaredMagnitude[275], 0x0000,
squaredMagnitude[276], 0x0000,
squaredMagnitude[277], 0x0000,
squaredMagnitude[278], 0x0000,
squaredMagnitude[279], 0x0000,
squaredMagnitude[280], 0x0000,
squaredMagnitude[281], 0x0000,
squaredMagnitude[282], 0x0000,
squaredMagnitude[283], 0x0000,
squaredMagnitude[284], 0x0000,
squaredMagnitude[285], 0x0000,
squaredMagnitude[286], 0x0000,
squaredMagnitude[287], 0x0000,
squaredMagnitude[288], 0x0000,
squaredMagnitude[289], 0x0000,
squaredMagnitude[290], 0x0000,
squaredMagnitude[291], 0x0000,
squaredMagnitude[292], 0x0000,
squaredMagnitude[293], 0x0000,
squaredMagnitude[294], 0x0000,
squaredMagnitude[295], 0x0000,
squaredMagnitude[296], 0x0000,
squaredMagnitude[297], 0x0000,
squaredMagnitude[298], 0x0000,
squaredMagnitude[299], 0x0000,
squaredMagnitude[300], 0x0000,
squaredMagnitude[301], 0x0000,
squaredMagnitude[302], 0x0000,
squaredMagnitude[303], 0x0000,
squaredMagnitude[304], 0x0000,
squaredMagnitude[305], 0x0000,
squaredMagnitude[306], 0x0000,
squaredMagnitude[307], 0x0000,
squaredMagnitude[308], 0x0000,
squaredMagnitude[309], 0x0000,
squaredMagnitude[310], 0x0000,
squaredMagnitude[311], 0x0000,
squaredMagnitude[312], 0x0000,
squaredMagnitude[313], 0x0000,
squaredMagnitude[314], 0x0000,
squaredMagnitude[315], 0x0000,
squaredMagnitude[316], 0x0000,
squaredMagnitude[317], 0x0000,
squaredMagnitude[318], 0x0000,
squaredMagnitude[319], 0x0000,
squaredMagnitude[320], 0x0000,
squaredMagnitude[321], 0x0000,
squaredMagnitude[322], 0x0000,
squaredMagnitude[323], 0x0000,
squaredMagnitude[324], 0x0000,
squaredMagnitude[325], 0x0000,
squaredMagnitude[326], 0x0000,
squaredMagnitude[327], 0x0000,
squaredMagnitude[328], 0x0000,
squaredMagnitude[329], 0x0000,
squaredMagnitude[330], 0x0000,
squaredMagnitude[331], 0x0000,
squaredMagnitude[332], 0x0000,
squaredMagnitude[333], 0x0000,
squaredMagnitude[334], 0x0000,
squaredMagnitude[335], 0x0000,
squaredMagnitude[336], 0x0000,
squaredMagnitude[337], 0x0000,
squaredMagnitude[338], 0x0000,
squaredMagnitude[339], 0x0000,
squaredMagnitude[340], 0x0000,
squaredMagnitude[341], 0x0000,
squaredMagnitude[342], 0x0000,
squaredMagnitude[343], 0x0000,
squaredMagnitude[344], 0x0000,
squaredMagnitude[345], 0x0000,
squaredMagnitude[346], 0x0000,
squaredMagnitude[347], 0x0000,
squaredMagnitude[348], 0x0000,
squaredMagnitude[349], 0x0000,
squaredMagnitude[350], 0x0000,
squaredMagnitude[351], 0x0000,
squaredMagnitude[352], 0x0000,
squaredMagnitude[353], 0x0000,
squaredMagnitude[354], 0x0000,
squaredMagnitude[355], 0x0000,
squaredMagnitude[356], 0x0000,
squaredMagnitude[357], 0x0000,
squaredMagnitude[358], 0x0000,
squaredMagnitude[359], 0x0000,
squaredMagnitude[360], 0x0000,
squaredMagnitude[361], 0x0000,
squaredMagnitude[362], 0x0000,
squaredMagnitude[363], 0x0000,
squaredMagnitude[364], 0x0000,
squaredMagnitude[365], 0x0000,
squaredMagnitude[366], 0x0000,
squaredMagnitude[367], 0x0000,
squaredMagnitude[368], 0x0000,
squaredMagnitude[369], 0x0000,
squaredMagnitude[370], 0x0000,
squaredMagnitude[371], 0x0000,
squaredMagnitude[372], 0x0000,
squaredMagnitude[373], 0x0000,
squaredMagnitude[374], 0x0000,
squaredMagnitude[375], 0x0000,
squaredMagnitude[376], 0x0000,
squaredMagnitude[377], 0x0000,
squaredMagnitude[378], 0x0000,
squaredMagnitude[379], 0x0000,
squaredMagnitude[380], 0x0000,
squaredMagnitude[381], 0x0000,
squaredMagnitude[382], 0x0000,
squaredMagnitude[383], 0x0000,
squaredMagnitude[384], 0x0000,
squaredMagnitude[385], 0x0000,
squaredMagnitude[386], 0x0000,
squaredMagnitude[387], 0x0000,
squaredMagnitude[388], 0x0000,
squaredMagnitude[389], 0x0000,
squaredMagnitude[390], 0x0000,
squaredMagnitude[391], 0x0000,
squaredMagnitude[392], 0x0000,
squaredMagnitude[393], 0x0000,
squaredMagnitude[394], 0x0000,
squaredMagnitude[395], 0x0000,
squaredMagnitude[396], 0x0000,
squaredMagnitude[397], 0x0000,
squaredMagnitude[398], 0x0000,
squaredMagnitude[399], 0x0000,
squaredMagnitude[400], 0x0000,
squaredMagnitude[401], 0x0000,
squaredMagnitude[402], 0x0000,
squaredMagnitude[403], 0x0000,
squaredMagnitude[404], 0x0000,
squaredMagnitude[405], 0x0000,
squaredMagnitude[406], 0x0000,
squaredMagnitude[407], 0x0000,
squaredMagnitude[408], 0x0000,
squaredMagnitude[409], 0x0000,
squaredMagnitude[410], 0x0000,
squaredMagnitude[411], 0x0000,
squaredMagnitude[412], 0x0000,
squaredMagnitude[413], 0x0000,
squaredMagnitude[414], 0x0000,
squaredMagnitude[415], 0x0000,
squaredMagnitude[416], 0x0000,
squaredMagnitude[417], 0x0000,
squaredMagnitude[418], 0x0000,
squaredMagnitude[419], 0x0000,
squaredMagnitude[420], 0x0000,
squaredMagnitude[421], 0x0000,
squaredMagnitude[422], 0x0000,
squaredMagnitude[423], 0x0000,
squaredMagnitude[424], 0x0000,
