squaredMagnitude[188], 0x0000, ,0000,0
squaredMagnitude[189], 0x0000, ,0000,0
squaredMagnitude[190], 0x0000, ,0000,0
squaredMagnitude[191], 0x0000, ,0000,0
squaredMagnitude[192], 0x0000, ,0000,0
squaredMagnitude[193], 0x0000, ,0000,0
squaredMagnitude[194], 0x0000, ,0000,0
squaredMagnitude[195], 0x0000, ,0000,0
squaredMagnitude[196], 0x0000, ,0000,0
squaredMagnitude[197], 0x0000, ,0000,0
squaredMagnitude[198], 0x0000, ,0000,0
squaredMagnitude[199], 0x0000, ,0000,0
squaredMagnitude[200], 0x0000, ,0000,0
squaredMagnitude[201], 0x0000, ,0000,0
squaredMagnitude[202], 0x0000, ,0000,0
squaredMagnitude[203], 0x0000, ,0000,0
squaredMagnitude[204], 0x0000, ,0000,0
squaredMagnitude[205], 0x0000, ,0000,0
squaredMagnitude[206], 0x0000, ,0000,0
squaredMagnitude[207], 0x0000, ,0000,0
squaredMagnitude[208], 0x0000, ,0000,0
squaredMagnitude[209], 0x0000, ,0000,0
squaredMagnitude[210], 0x0000, ,0000,0
squaredMagnitude[211], 0x0000, ,0000,0
squaredMagnitude[212], 0x0000, ,0000,0
squaredMagnitude[213], 0x0000, ,0000,0
squaredMagnitude[214], 0x0000, ,0000,0
squaredMagnitude[215], 0x0000, ,0000,0
squaredMagnitude[216], 0x0000, ,0000,0
squaredMagnitude[217], 0x0000, ,0000,0
squaredMagnitude[218], 0x0000, ,0000,0
squaredMagnitude[219], 0x0000, ,0000,0
squaredMagnitude[220], 0x0000, ,0000,0
squaredMagnitude[221], 0x0000, ,0000,0
squaredMagnitude[222], 0x0000, ,0000,0
squaredMagnitude[223], 0x0000, ,0000,0
squaredMagnitude[224], 0x0000, ,0000,0
squaredMagnitude[225], 0x0000, ,0000,0
squaredMagnitude[226], 0x0000, ,0000,0
squaredMagnitude[227], 0x0000, ,0000,0
squaredMagnitude[228], 0x0000, ,0000,0
squaredMagnitude[229], 0x0000, ,0000,0
squaredMagnitude[230], 0x0000, ,0000,0
squaredMagnitude[231], 0x0000, ,0000,0
squaredMagnitude[232], 0x0000, ,0000,0
squaredMagnitude[233], 0x0000, ,0000,0
squaredMagnitude[234], 0x0000, ,0000,0
squaredMagnitude[235], 0x0000, ,0000,0
squaredMagnitude[236], 0x0000, ,0000,0
squaredMagnitude[237], 0x0000, ,0000,0
squaredMagnitude[238], 0x0000, ,0000,0
squaredMagnitude[239], 0x0000, ,0000,0
squaredMagnitude[240], 0x0000, ,0000,0
squaredMagnitude[241], 0x0000, ,0000,0
squaredMagnitude[242], 0x0000, ,0000,0
squaredMagnitude[243], 0x0000, ,0000,0
squaredMagnitude[244], 0x0000, ,0000,0
squaredMagnitude[245], 0x0000, ,0000,0
squaredMagnitude[246], 0x0000, ,0000,0
squaredMagnitude[247], 0x0000, ,0000,0
squaredMagnitude[248], 0x0000, ,0000,0
squaredMagnitude[249], 0x0000, ,0000,0
squaredMagnitude[250], 0x0000, ,0000,0
squaredMagnitude[251], 0x0000, ,0000,0
squaredMagnitude[252], 0x0000, ,0000,0
squaredMagnitude[253], 0x0000, ,0000,0
squaredMagnitude[254], 0x0000, ,0000,0
squaredMagnitude[255], 0x0000, ,0000,0
squaredMagnitude[256], 0x0000, ,0000,0
squaredMagnitude[257], 0x0000, ,0000,0
squaredMagnitude[258], 0x0000, ,0000,0
squaredMagnitude[259], 0x0000, ,0000,0
squaredMagnitude[260], 0x0000, ,0000,0
squaredMagnitude[261], 0x0000, ,0000,0
squaredMagnitude[262], 0x0000, ,0000,0
squaredMagnitude[263], 0x0000, ,0000,0
squaredMagnitude[264], 0x0000, ,0000,0
squaredMagnitude[265], 0x0000, ,0000,0
squaredMagnitude[266], 0x0000, ,0000,0
squaredMagnitude[267], 0x0000, ,0000,0
squaredMagnitude[268], 0x0000, ,0000,0
squaredMagnitude[269], 0x0000, ,0000,0
squaredMagnitude[270], 0x0000, ,0000,0
squaredMagnitude[271], 0x0000, ,0000,0
squaredMagnitude[272], 0x0000, ,0000,0
squaredMagnitude[273], 0x0000, ,0000,0
squaredMagnitude[274], 0x0000, ,0000,0
squaredMagnitude[275], 0x0000, ,0000,0
squaredMagnitude[276], 0x0000, ,0000,0
squaredMagnitude[277], 0x0000, ,0000,0
squaredMagnitude[278], 0x0000, ,0000,0
squaredMagnitude[279], 0x0000, ,0000,0
squaredMagnitude[280], 0x0000, ,0000,0
squaredMagnitude[281], 0x0000, ,0000,0
squaredMagnitude[282], 0x0000, ,0000,0
squaredMagnitude[283], 0x0000, ,0000,0
squaredMagnitude[284], 0x0000, ,0000,0
squaredMagnitude[285], 0x0000, ,0000,0
squaredMagnitude[286], 0x0000, ,0000,0
squaredMagnitude[287], 0x0000, ,0000,0
squaredMagnitude[288], 0x0000, ,0000,0
squaredMagnitude[289], 0x0000, ,0000,0
squaredMagnitude[290], 0x0000, ,0000,0
squaredMagnitude[291], 0x0000, ,0000,0
squaredMagnitude[292], 0x0000, ,0000,0
squaredMagnitude[293], 0x0000, ,0000,0
squaredMagnitude[294], 0x0000, ,0000,0
squaredMagnitude[295], 0x0000, ,0000,0
squaredMagnitude[296], 0x0000, ,0000,0
squaredMagnitude[297], 0x0000, ,0000,0
squaredMagnitude[298], 0x0000, ,0000,0
squaredMagnitude[299], 0x0000, ,0000,0
squaredMagnitude[300], 0x0000, ,0000,0
squaredMagnitude[301], 0x0000, ,0000,0
squaredMagnitude[302], 0x0000, ,0000,0
squaredMagnitude[303], 0x0000, ,0000,0
squaredMagnitude[304], 0x0000, ,0000,0
squaredMagnitude[305], 0x0000, ,0000,0
squaredMagnitude[306], 0x0000, ,0000,0
squaredMagnitude[307], 0x0000, ,0000,0
squaredMagnitude[308], 0x0000, ,0000,0
squaredMagnitude[309], 0x0000, ,0000,0
squaredMagnitude[310], 0x0000, ,0000,0
squaredMagnitude[311], 0x0000, ,0000,0
squaredMagnitude[312], 0x0000, ,0000,0
squaredMagnitude[313], 0x0000, ,0000,0
squaredMagnitude[314], 0x0000, ,0000,0
squaredMagnitude[315], 0x0000, ,0000,0
squaredMagnitude[316], 0x0000, ,0000,0
squaredMagnitude[317], 0x0000, ,0000,0
squaredMagnitude[318], 0x0000, ,0000,0
squaredMagnitude[319], 0x0000, ,0000,0
squaredMagnitude[320], 0x0000, ,0000,0
squaredMagnitude[321], 0x0000, ,0000,0
squaredMagnitude[322], 0x0000, ,0000,0
squaredMagnitude[323], 0x0000, ,0000,0
squaredMagnitude[324], 0x0000, ,0000,0
squaredMagnitude[325], 0x0000, ,0000,0
squaredMagnitude[326], 0x0000, ,0000,0
squaredMagnitude[327], 0x0000, ,0000,0
squaredMagnitude[328], 0x0000, ,0000,0
squaredMagnitude[329], 0x0000, ,0000,0
squaredMagnitude[330], 0x0000, ,0000,0
squaredMagnitude[331], 0x0000, ,0000,0
squaredMagnitude[332], 0x0000, ,0000,0
squaredMagnitude[333], 0x0000, ,0000,0
squaredMagnitude[334], 0x0000, ,0000,0
squaredMagnitude[335], 0x0000, ,0000,0
squaredMagnitude[336], 0x0000, ,0000,0
squaredMagnitude[337], 0x0000, ,0000,0
squaredMagnitude[338], 0x0000, ,0000,0
squaredMagnitude[339], 0x0000, ,0000,0
squaredMagnitude[340], 0x0000, ,0000,0
squaredMagnitude[341], 0x0002, ,0002,2
squaredMagnitude[342], 0x0000, ,0000,0
squaredMagnitude[343], 0x0000, ,0000,0
squaredMagnitude[344], 0x0000, ,0000,0
squaredMagnitude[345], 0x0000, ,0000,0
squaredMagnitude[346], 0x0000, ,0000,0
squaredMagnitude[347], 0x0000, ,0000,0
squaredMagnitude[348], 0x0000, ,0000,0
squaredMagnitude[349], 0x0000, ,0000,0
squaredMagnitude[350], 0x0000, ,0000,0
squaredMagnitude[351], 0x0000, ,0000,0
squaredMagnitude[352], 0x0000, ,0000,0
squaredMagnitude[353], 0x0000, ,0000,0
squaredMagnitude[354], 0x0000, ,0000,0
squaredMagnitude[355], 0x0000, ,0000,0
squaredMagnitude[356], 0x0000, ,0000,0
squaredMagnitude[357], 0x0000, ,0000,0
squaredMagnitude[358], 0x0000, ,0000,0
squaredMagnitude[359], 0x0000, ,0000,0
squaredMagnitude[360], 0x0000, ,0000,0
squaredMagnitude[361], 0x0000, ,0000,0
squaredMagnitude[362], 0x0000, ,0000,0
squaredMagnitude[363], 0x0001, ,0001,1
squaredMagnitude[364], 0x0000, ,0000,0
squaredMagnitude[365], 0x0001, ,0001,1
squaredMagnitude[366], 0x0000, ,0000,0
squaredMagnitude[367], 0x0000, ,0000,0
squaredMagnitude[368], 0x0000, ,0000,0
squaredMagnitude[369], 0x0000, ,0000,0
squaredMagnitude[370], 0x0000, ,0000,0
squaredMagnitude[371], 0x0000, ,0000,0
squaredMagnitude[372], 0x0000, ,0000,0
squaredMagnitude[373], 0x0001, ,0001,1
squaredMagnitude[374], 0x0000, ,0000,0
squaredMagnitude[375], 0x0000, ,0000,0
squaredMagnitude[376], 0x0000, ,0000,0
squaredMagnitude[377], 0x0000, ,0000,0
squaredMagnitude[378], 0x0000, ,0000,0
squaredMagnitude[379], 0x0000, ,0000,0
squaredMagnitude[380], 0x0000, ,0000,0
squaredMagnitude[381], 0x0000, ,0000,0
squaredMagnitude[382], 0x0000, ,0000,0
squaredMagnitude[383], 0x0000, ,0000,0
squaredMagnitude[384], 0x0000, ,0000,0
squaredMagnitude[385], 0x0000, ,0000,0
squaredMagnitude[386], 0x0000, ,0000,0
squaredMagnitude[387], 0x0000, ,0000,0
squaredMagnitude[388], 0x0000, ,0000,0
squaredMagnitude[389], 0x0000, ,0000,0
squaredMagnitude[390], 0x0000, ,0000,0
squaredMagnitude[391], 0x0000, ,0000,0
squaredMagnitude[392], 0x0000, ,0000,0
squaredMagnitude[393], 0x0000, ,0000,0
squaredMagnitude[394], 0x0000, ,0000,0
squaredMagnitude[395], 0x0000, ,0000,0
squaredMagnitude[396], 0x0000, ,0000,0
squaredMagnitude[397], 0x0000, ,0000,0
squaredMagnitude[398], 0x0000, ,0000,0
squaredMagnitude[399], 0x0000, ,0000,0
squaredMagnitude[400], 0x0000, ,0000,0
squaredMagnitude[401], 0x0000, ,0000,0
squaredMagnitude[402], 0x0000, ,0000,0
squaredMagnitude[403], 0x0000, ,0000,0
squaredMagnitude[404], 0x0000, ,0000,0
squaredMagnitude[405], 0x0000, ,0000,0
squaredMagnitude[406], 0x0000, ,0000,0
squaredMagnitude[407], 0x0000, ,0000,0
squaredMagnitude[408], 0x0000, ,0000,0
squaredMagnitude[409], 0x0000, ,0000,0
squaredMagnitude[410], 0x0000, ,0000,0
squaredMagnitude[411], 0x0000, ,0000,0
squaredMagnitude[412], 0x0000, ,0000,0
squaredMagnitude[413], 0x0000, ,0000,0
squaredMagnitude[414], 0x0000, ,0000,0
squaredMagnitude[415], 0x0000, ,0000,0
squaredMagnitude[416], 0x0000, ,0000,0
squaredMagnitude[417], 0x0000, ,0000,0
squaredMagnitude[418], 0x0000, ,0000,0
squaredMagnitude[419], 0x0000, ,0000,0
squaredMagnitude[420], 0x0000, ,0000,0
squaredMagnitude[421], 0x0000, ,0000,0
squaredMagnitude[422], 0x0000, ,0000,0
squaredMagnitude[423], 0x0000, ,0000,0
squaredMagnitude[424], 0x0000, ,0000,0
squaredMagnitude[425], 0x0000, ,0000,0
squaredMagnitude[426], 0x0000, ,0000,0
squaredMagnitude[427], 0x0001, ,0001,1
squaredMagnitude[428], 0x0000, ,0000,0
squaredMagnitude[429], 0x0001, ,0001,1
squaredMagnitude[430], 0x0000, ,0000,0
squaredMagnitude[431], 0x0000, ,0000,0
squaredMagnitude[432], 0x0000, ,0000,0
squaredMagnitude[433], 0x0000, ,0000,0
squaredMagnitude[434], 0x0000, ,0000,0
squaredMagnitude[435], 0x0000, ,0000,0
squaredMagnitude[436], 0x0000, ,0000,0
squaredMagnitude[437], 0x0001, ,0001,1
squaredMagnitude[438], 0x0000, ,0000,0
squaredMagnitude[439], 0x0000, ,0000,0
squaredMagnitude[440], 0x0000, ,0000,0
squaredMagnitude[441], 0x0000, ,0000,0
squaredMagnitude[442], 0x0000, ,0000,0
squaredMagnitude[443], 0x0000, ,0000,0
squaredMagnitude[444], 0x0000, ,0000,0
squaredMagnitude[445], 0x0000, ,0000,0
squaredMagnitude[446], 0x0000, ,0000,0
squaredMagnitude[447], 0x0000, ,0000,0
squaredMagnitude[448], 0x0000, ,0000,0
squaredMagnitude[449], 0x0000, ,0000,0
squaredMagnitude[450], 0x0000, ,0000,0
squaredMagnitude[451], 0x0000, ,0000,0
squaredMagnitude[452], 0x0000, ,0000,0
squaredMagnitude[453], 0x0000, ,0000,0
squaredMagnitude[454], 0x0000, ,0000,0
squaredMagnitude[455], 0x0000, ,0000,0
squaredMagnitude[456], 0x0000, ,0000,0
squaredMagnitude[457], 0x0000, ,0000,0
squaredMagnitude[458], 0x0000, ,0000,0
squaredMagnitude[459], 0x0000, ,0000,0
squaredMagnitude[460], 0x0000, ,0000,0
squaredMagnitude[461], 0x0000, ,0000,0
squaredMagnitude[462], 0x0000, ,0000,0
squaredMagnitude[463], 0x0000, ,0000,0
squaredMagnitude[464], 0x0000, ,0000,0
squaredMagnitude[465], 0x0000, ,0000,0
squaredMagnitude[466], 0x0000, ,0000,0
squaredMagnitude[467], 0x0000, ,0000,0
squaredMagnitude[468], 0x0000, ,0000,0
squaredMagnitude[469], 0x0001, ,0001,1
squaredMagnitude[470], 0x0000, ,0000,0
squaredMagnitude[471], 0x0000, ,0000,0
squaredMagnitude[472], 0x0000, ,0000,0
squaredMagnitude[473], 0x0000, ,0000,0
squaredMagnitude[474], 0x0000, ,0000,0
squaredMagnitude[475], 0x0000, ,0000,0
squaredMagnitude[476], 0x0000, ,0000,0
squaredMagnitude[477], 0x0000, ,0000,0
squaredMagnitude[478], 0x0000, ,0000,0
squaredMagnitude[479], 0x0000, ,0000,0
squaredMagnitude[480], 0x0000, ,0000,0
squaredMagnitude[481], 0x0000, ,0000,0
squaredMagnitude[482], 0x0000, ,0000,0
squaredMagnitude[483], 0x0000, ,0000,0
squaredMagnitude[484], 0x0000, ,0000,0
squaredMagnitude[485], 0x0000, ,0000,0
squaredMagnitude[486], 0x0000, ,0000,0
squaredMagnitude[487], 0x0000, ,0000,0
squaredMagnitude[488], 0x0000, ,0000,0
squaredMagnitude[489], 0x0000, ,0000,0
squaredMagnitude[490], 0x0000, ,0000,0
squaredMagnitude[491], 0x0000, ,0000,0
squaredMagnitude[492], 0x0000, ,0000,0
squaredMagnitude[493], 0x0000, ,0000,0
squaredMagnitude[494], 0x0000, ,0000,0
squaredMagnitude[495], 0x0000, ,0000,0
squaredMagnitude[496], 0x0000, ,0000,0
squaredMagnitude[497], 0x0000, ,0000,0
squaredMagnitude[498], 0x0000, ,0000,0
squaredMagnitude[499], 0x0000, ,0000,0
squaredMagnitude[500], 0x0000, ,0000,0
squaredMagnitude[501], 0x0000, ,0000,0
squaredMagnitude[502], 0x0000, ,0000,0
squaredMagnitude[503], 0x0000, ,0000,0
squaredMagnitude[504], 0x0000, ,0000,0
squaredMagnitude[505], 0x0000, ,0000,0
squaredMagnitude[506], 0x0000, ,0000,0
squaredMagnitude[507], 0x0000, ,0000,0
squaredMagnitude[508], 0x0000, ,0000,0
squaredMagnitude[509], 0x0000, ,0000,0
squaredMagnitude[510], 0x0000, ,0000,0
squaredMagnitude[511], 0x0000, ,0000,0
